ResponseId,experience_of_unity,spiritual_experience,blissful_state,insightfulness,disembodiment,impaired_control_and_cognition,anxiety,complex_imagery,elementary_imagery,audio_visual_synesthesia,changed_meaning_of_percepts
R_2XhSm3rVuTDh2XT,56.6,30.666666666666668,80.66666666666667,51.0,2.3333333333333335,6.125,22.2,68.33333333333333,2.3333333333333335,13.666666666666666,32.333333333333336
R_82J66rTAKMAkEMO,19.8,22.666666666666668,19.666666666666668,41.666666666666664,11.0,11.0,23.2,42.333333333333336,14.666666666666666,22.0,21.0
R_80OjC1M5y1RxlPM,90.8,72.66666666666667,81.0,88.33333333333333,100.0,28.875,33.4,59.333333333333336,63.666666666666664,85.0,95.33333333333333
R_8rdBxiZHeShoPvf,10.2,4.0,43.666666666666664,36.666666666666664,36.0,3.875,5.4,47.666666666666664,28.0,5.666666666666667,10.333333333333334
R_2rH7YSrGIo4VOqn,25.2,46.666666666666664,77.0,39.0,8.666666666666666,17.75,16.4,55.666666666666664,69.66666666666667,100.0,23.0
R_21XjwbyGzuOyHgI,57.4,52.0,66.66666666666667,47.0,0.0,3.875,34.2,43.666666666666664,100.0,99.66666666666667,79.66666666666667
R_8wRkx3xsKEWvkx4,35.6,6.333333333333333,37.666666666666664,33.666666666666664,67.0,17.0,18.4,68.66666666666667,39.333333333333336,95.33333333333333,46.333333333333336
R_2z7lDjn9lsFW9le,77.8,82.33333333333333,45.333333333333336,80.0,18.666666666666668,36.25,26.2,67.33333333333333,81.66666666666667,56.0,76.0
R_2QZ0mVOXJ7bErCC,51.0,61.0,64.0,75.66666666666667,16.666666666666668,0.0,20.0,100.0,66.66666666666667,100.0,0.0
R_2By8fQWBDdVOmvN,58.8,62.333333333333336,53.0,72.66666666666667,75.33333333333333,32.75,52.2,53.333333333333336,72.33333333333333,81.33333333333333,42.0
R_7W7t8gWXV5YT89r,53.6,61.333333333333336,88.66666666666667,77.33333333333333,59.0,29.375,32.4,78.0,27.0,20.666666666666668,60.333333333333336
R_2oHhbfWNL2kkcVd,8.4,0.0,9.333333333333334,50.0,0.0,0.0,9.4,91.0,30.0,0.0,5.333333333333333
R_773U7ZqYsjUkFKp,36.6,28.666666666666668,46.666666666666664,50.666666666666664,36.666666666666664,22.75,23.0,67.33333333333333,28.333333333333332,87.0,4.0
R_7s5KA1fQw1up3RI,33.8,84.0,47.0,78.33333333333333,82.66666666666667,16.5,24.0,42.0,53.333333333333336,3.6666666666666665,7.0
R_4GDEWIUC4ym26CC,12.8,26.333333333333332,25.666666666666668,48.0,13.0,9.625,20.2,51.333333333333336,41.666666666666664,21.333333333333332,22.666666666666668
R_43mdeeA3lr99XfP,27.2,55.333333333333336,57.333333333333336,47.666666666666664,5.0,20.375,25.4,52.0,47.0,28.333333333333332,35.666666666666664
R_2pXXnHm4NyMkzzI,100.0,58.666666666666664,72.0,85.66666666666667,23.333333333333332,7.125,35.8,91.0,50.333333333333336,92.66666666666667,94.33333333333333
R_7QF7WxFwsbDGmNo,84.2,53.666666666666664,87.33333333333333,66.0,64.33333333333333,25.5,70.2,75.0,51.0,78.66666666666667,45.0
R_5daHaWG1jP1noqh,13.6,29.333333333333332,25.666666666666668,35.666666666666664,4.333333333333333,19.0,24.4,35.666666666666664,45.666666666666664,0.0,49.666666666666664
R_1j7CZRMDdlYZsRa,97.0,77.0,75.33333333333333,50.333333333333336,43.666666666666664,31.875,26.0,61.0,51.0,53.333333333333336,54.666666666666664
R_9ewzLHjgKMw7aAo,30.8,25.0,49.333333333333336,73.66666666666667,4.333333333333333,18.0,22.4,58.333333333333336,53.333333333333336,77.33333333333333,71.66666666666667
R_6eJKKdxcAEn8sLc,6.4,35.333333333333336,41.0,37.0,7.0,21.75,18.0,61.0,66.66666666666667,80.0,8.0
R_7jeylS2IMX0LQHL,55.4,81.0,100.0,46.0,62.333333333333336,2.375,22.6,75.0,47.0,33.333333333333336,3.3333333333333335
R_93ORM1AwErq8M3n,75.2,67.33333333333333,95.66666666666667,65.66666666666667,77.33333333333333,5.875,33.6,78.33333333333333,22.666666666666668,66.66666666666667,17.333333333333332
R_5QAF6WKKRnrvhgR,53.6,34.0,61.0,77.33333333333333,20.0,7.125,23.2,30.0,43.0,42.666666666666664,67.33333333333333
R_9I5dYnTeMGdPyAF,14.0,28.666666666666668,55.666666666666664,43.333333333333336,0.0,11.125,30.6,43.333333333333336,44.666666666666664,17.666666666666668,50.333333333333336
R_57qyyHfdXuoAZuM,100.0,100.0,100.0,84.0,100.0,35.375,56.8,70.33333333333333,82.33333333333333,100.0,82.33333333333333
R_8GwVWwztV7oDxie,83.8,93.33333333333333,68.0,66.66666666666667,100.0,36.0,20.0,88.66666666666667,33.333333333333336,0.0,66.66666666666667
R_4ffBkooFqHzbTXu,19.0,51.666666666666664,26.333333333333332,41.666666666666664,14.0,22.0,29.2,31.666666666666668,94.0,17.333333333333332,25.333333333333332
R_2xFuqG16chSKLcD,100.0,98.66666666666667,100.0,67.0,100.0,53.375,47.4,72.66666666666667,66.0,9.333333333333334,98.66666666666667
R_8dgzwbDadiIpEzC,81.4,93.33333333333333,99.33333333333333,58.0,81.66666666666667,35.625,57.0,93.66666666666667,83.0,5.0,39.0
