ResponseId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13
R_2XhSm3rVuTDh2XT,7,7,2,3,6,3,7,7,6,7,8,8,8
R_82J66rTAKMAkEMO,6,6,2,3,7,6,6,7,4,6,3,1,7
R_80OjC1M5y1RxlPM,7,6,7,8,7,7,6,7,6,7,5,1,7
R_8rdBxiZHeShoPvf,6,6,6,3,4,1,6,4,3,6,7,7,4
R_2rH7YSrGIo4VOqn,7,5,7,8,7,6,7,5,6,6,6,7,7
R_21XjwbyGzuOyHgI,1,1,1,7,6,1,5,7,4,4,6,6,8
R_8wRkx3xsKEWvkx4,7,7,1,1,6,4,6,3,4,6,7,5,8
R_2z7lDjn9lsFW9le,7,7,4,1,7,5,7,7,6,7,7,7,6
R_2QZ0mVOXJ7bErCC,1,1,1,7,2,7,4,2,2,6,6,5,7
R_2By8fQWBDdVOmvN,3,1,6,7,2,2,2,2,6,2,7,7,7
R_7W7t8gWXV5YT89r,4,1,5,6,1,5,7,2,2,3,7,7,7
R_2oHhbfWNL2kkcVd,1,1,1,7,5,1,7,7,6,2,1,5,4
R_773U7ZqYsjUkFKp,2,1,4,5,4,1,4,3,5,1,6,6,6
R_7s5KA1fQw1up3RI,7,5,7,1,6,7,7,5,5,6,6,4,4
R_4GDEWIUC4ym26CC,5,4,5,5,4,5,6,5,6,6,8,7,7
R_43mdeeA3lr99XfP,3,2,5,1,6,4,4,7,7,6,6,7,8
R_2pXXnHm4NyMkzzI,7,7,7,3,6,3,6,7,2,6,7,5,8
R_7QF7WxFwsbDGmNo,7,7,7,1,7,7,4,4,6,6,3,1,3
R_5daHaWG1jP1noqh,5,5,4,7,6,4,5,5,5,6,3,6,1
R_1j7CZRMDdlYZsRa,7,6,7,7,6,4,3,7,6,4,4,3,3
R_9ewzLHjgKMw7aAo,2,2,4,6,3,3,2,2,2,4,7,7,6
R_6eJKKdxcAEn8sLc,7,4,5,1,4,3,4,6,7,7,5,3,5
R_7jeylS2IMX0LQHL,7,7,4,1,4,4,4,3,5,6,7,7,6
R_93ORM1AwErq8M3n,3,3,3,8,2,1,2,6,3,2,7,6,7
R_5QAF6WKKRnrvhgR,4,1,7,8,4,1,6,2,3,5,6,8,5
R_9I5dYnTeMGdPyAF,5,2,6,3,6,5,5,6,6,6,6,7,6
R_57qyyHfdXuoAZuM,7,7,7,1,7,7,7,7,7,7,8,8,8
R_8GwVWwztV7oDxie,2,2,3,4,2,3,4,3,3,2,4,4,7
R_4ffBkooFqHzbTXu,5,2,5,5,4,6,4,1,2,4,6,7,7
R_2xFuqG16chSKLcD,6,5,2,7,7,1,7,7,5,7,1,1,3
R_8dgzwbDadiIpEzC,7,2,6,3,6,2,6,6,6,7,3,7,8
R_36ao9YGhC5GcZrq,4,5,5,4,5,5,5,5,3,5,6,6,6
R_8c5yw36Pz3kZ3Cp,7,6,7,4,5,7,7,5,2,2,1,4,4
R_2U4mfZSqUjhgxov,7,7,4,4,6,6,4,6,6,4,7,7,7
R_21nfNz8AxMsB3vb,2,1,2,4,3,2,4,4,4,4,5,5,6
R_21hgqYz8t5glRvQ,6,5,7,7,6,6,5,6,5,5,3,4,7
R_2jJ9Enb3PhGhhr0,2,1,2,5,4,5,2,5,5,1,7,7,3
R_2GBvrInZcbMS2Sn,6,4,5,3,3,4,4,3,2,5,8,7,8
R_80UPG53TvLSipp9,5,5,2,6,6,4,4,4,5,6,5,5,6
R_8GoYPzVdsrKHvoX,5,5,5,4,5,5,3,5,6,6,7,6,6
