trial_ids,image_number,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
0,10,4,1,2,1,5,5,1,1,1,3,2,1,1,1,1,4,5,4,1,5,-1
1,3,4,1,5,4,4,4,4,4,4,4,1,2,4,4,2,1,2,1,1,5,-1
2,6,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,5,5,4,1,5,-1
3,7,1,1,1,1,1,3,1,1,1,5,5,3,1,1,1,1,1,1,1,5,-1
4,8,4,5,3,1,2,1,5,2,2,5,5,5,3,3,2,3,3,4,1,5,-1
5,5,5,5,5,1,2,1,3,3,3,5,5,1,1,1,1,2,1,3,1,5,-1
6,2,5,5,5,1,1,1,5,5,1,5,5,5,1,5,1,1,5,5,1,5,-1
7,4,3,4,3,1,2,1,2,2,2,3,2,2,2,3,3,4,4,3,1,5,-1
8,9,5,5,5,1,1,1,5,5,4,5,3,1,5,5,5,1,3,1,1,5,-1
9,9,5,3,5,1,3,1,1,1,3,3,5,1,5,5,5,2,1,1,1,5,-1
10,10,1,1,1,5,4,4,2,3,1,3,3,2,1,1,2,5,5,5,1,5,-1
11,3,1,1,1,5,5,5,5,5,5,1,1,1,5,4,1,1,1,1,1,5,-1
12,2,5,5,5,1,1,1,3,2,2,2,3,1,2,2,2,4,4,4,1,5,-1
13,1,5,4,5,1,3,2,5,4,5,4,4,3,4,3,4,2,2,2,1,5,-1
14,7,1,1,3,1,3,1,1,1,1,5,5,1,1,5,1,5,1,5,1,5,-1
15,4,3,3,2,1,2,2,1,2,2,2,1,1,4,4,5,1,2,1,1,5,-1
16,6,2,2,2,3,3,3,3,3,4,3,2,3,2,2,3,4,4,3,1,5,-1
17,8,4,4,4,4,2,1,3,3,2,5,5,4,1,3,1,3,2,4,1,5,-1
18,5,5,5,5,1,1,1,1,1,1,4,2,2,1,2,1,1,1,1,1,5,-1
19,2,5,5,5,1,1,1,1,1,1,5,5,5,2,2,2,2,2,2,1,5,-1
21,7,1,1,1,1,2,2,2,1,1,5,3,1,1,1,1,1,1,1,1,5,-1
22,4,1,1,1,1,1,1,1,1,1,3,1,3,4,4,5,3,5,3,1,5,-1
23,10,1,1,1,5,5,5,2,1,1,1,1,1,4,1,4,4,5,2,1,5,-1
24,9,5,4,5,1,1,1,4,2,4,4,5,4,5,4,5,1,2,1,1,5,-1
