pcode,condition,seat,trial_order,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,wrong_Q19,wrong_Q20,wrong_Q21,n_wrong_row,exclude_participant
participant_002,0,2,53BA74C6021,1,1,5,1,4,3,1,1,1,5,5,4,2,2,3,1,1,1,1,5,-1,False,False,False,0,False
participant_002,1,2,53BA74C6021,2,1,5,1,1,2,1,1,1,5,5,5,5,5,5,1,1,1,1,5,-1,False,False,False,0,False
participant_002,2,2,53BA74C6021,4,1,5,1,1,2,1,2,2,5,5,4,5,5,5,1,1,1,1,5,-1,False,False,False,0,False
participant_002,3,2,53BA74C6021,3,1,1,1,1,3,2,2,2,4,4,3,4,5,5,3,2,1,1,5,-1,False,False,False,0,False
participant_002,4,2,53BA74C6021,4,2,2,1,2,4,1,1,2,4,3,3,4,5,4,1,1,1,1,5,-1,False,False,False,0,False
participant_002,5,2,53BA74C6021,3,2,4,1,1,4,1,1,1,4,4,3,4,5,4,1,1,3,1,5,-1,False,False,False,0,False
participant_002,6,2,53BA74C6021,3,1,3,1,1,4,1,1,1,4,4,4,5,5,5,1,1,1,1,5,-1,False,False,False,0,False
participant_002,7,2,53BA74C6021,1,1,4,1,2,5,1,1,1,4,4,3,1,2,1,1,1,1,1,5,-1,False,False,False,0,False
participant_002,A,2,53BA74C6021,2,1,5,1,1,4,1,1,1,3,4,3,5,5,5,1,1,1,1,5,-1,False,False,False,0,False
participant_002,B,2,53BA74C6021,5,5,5,5,5,2,3,3,3,5,3,2,2,2,1,2,2,2,1,5,-1,False,False,False,0,False
participant_002,C,2,53BA74C6021,4,1,1,5,5,5,4,4,4,1,1,1,1,2,1,1,1,1,1,5,-1,False,False,False,0,False
participant_003,0,3,53BA74C6021,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,-1,False,False,False,0,False
participant_003,1,3,53BA74C6021,5,5,5,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,5,-1,False,False,False,0,False
participant_003,2,3,53BA74C6021,5,5,5,1,1,1,4,4,4,5,5,5,1,1,1,4,5,4,1,5,-1,False,False,False,0,False
participant_003,3,3,53BA74C6021,5,5,5,1,1,1,2,2,4,5,5,5,2,2,1,1,1,1,1,5,-1,False,False,False,0,False
participant_003,4,3,53BA74C6021,5,5,5,1,1,1,4,4,4,5,5,5,2,1,2,4,4,4,1,5,-1,False,False,False,0,False
participant_003,5,3,53BA74C6021,5,4,4,1,1,1,1,1,1,4,2,2,5,5,5,1,1,1,1,5,-1,False,False,False,0,False
participant_003,6,3,53BA74C6021,5,5,5,1,1,1,4,4,4,5,4,4,1,1,1,4,4,4,1,5,-1,False,False,False,0,False
participant_003,7,3,53BA74C6021,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,1,2,1,1,5,-1,False,False,False,0,False
participant_003,A,3,53BA74C6021,5,5,5,1,1,1,4,2,3,5,5,5,2,3,2,4,4,4,1,5,-1,False,False,False,0,False
participant_003,B,3,53BA74C6021,5,5,5,1,1,1,3,2,2,5,5,5,1,1,1,4,4,4,1,5,-1,False,False,False,0,False
participant_003,C,3,53BA74C6021,1,1,1,5,5,5,4,4,5,5,5,5,2,1,1,1,1,1,1,5,-1,False,False,False,0,False
participant_004,0,1,327AB50C614,3,3,3,1,2,2,1,2,2,2,2,2,4,2,5,1,1,3,1,5,-1,False,False,False,0,False
participant_004,1,1,327AB50C614,4,5,5,1,4,4,3,3,4,4,4,4,4,3,2,4,2,2,2,5,-1,True,False,False,1,False
participant_004,2,1,327AB50C614,5,5,5,2,2,1,4,3,4,4,2,4,5,5,2,3,2,3,1,5,-1,False,False,False,0,False
participant_004,3,1,327AB50C614,5,3,5,1,2,2,2,1,5,3,4,5,5,5,4,2,2,4,1,5,-1,False,False,False,0,False
participant_004,4,1,327AB50C614,5,5,5,4,4,3,4,5,4,3,2,4,5,5,2,4,1,4,1,5,-1,False,False,False,0,False
participant_004,5,1,327AB50C614,5,5,5,1,4,2,3,2,3,3,3,4,5,3,2,2,1,4,1,5,-1,False,False,False,0,False
participant_004,6,1,327AB50C614,1,1,3,1,1,1,1,1,2,2,2,2,4,4,5,1,1,2,1,5,-1,False,False,False,0,False
participant_004,7,1,327AB50C614,1,1,1,4,1,2,1,1,1,2,2,2,1,1,4,4,2,2,1,5,-1,False,False,False,0,False
participant_004,A,1,327AB50C614,4,5,5,1,4,2,3,4,3,4,5,4,4,2,2,5,4,5,1,5,-1,False,False,False,0,False
participant_004,B,1,327AB50C614,4,5,5,4,4,3,2,2,3,4,4,4,2,2,2,2,2,4,1,5,-1,False,False,False,0,False
participant_004,C,1,327AB50C614,1,1,1,5,5,5,5,4,4,2,2,2,5,4,5,2,1,1,1,5,-1,False,False,False,0,False
participant_005,0,1,0AC612473B5,2,2,2,1,2,3,4,2,2,4,4,5,4,1,2,5,5,5,1,5,-1,False,False,False,0,False
participant_005,1,1,0AC612473B5,5,5,5,1,1,1,5,5,4,5,5,5,2,1,1,5,4,5,1,5,-1,False,False,False,0,False
participant_005,2,1,0AC612473B5,5,5,5,1,1,1,5,5,5,5,5,5,2,1,1,1,1,2,1,5,-1,False,False,False,0,False
participant_005,3,1,0AC612473B5,5,5,5,1,1,1,5,5,5,5,5,5,1,1,1,5,5,5,1,5,-1,False,False,False,0,False
participant_005,4,1,0AC612473B5,5,5,5,1,1,1,4,5,5,3,4,4,1,2,2,4,2,4,1,5,-1,False,False,False,0,False
participant_005,5,1,0AC612473B5,5,5,5,1,1,1,5,5,4,5,5,5,4,2,1,1,1,1,1,5,-1,False,False,False,0,False
participant_005,6,1,0AC612473B5,5,5,5,1,1,2,4,2,4,4,5,4,2,2,4,5,5,5,1,5,-1,False,False,False,0,False
participant_005,7,1,0AC612473B5,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,5,5,5,1,5,-1,False,False,False,0,False
participant_005,A,1,0AC612473B5,5,5,5,1,1,2,4,4,4,4,4,5,2,2,1,1,2,5,1,5,-1,False,False,False,0,False
participant_005,B,1,0AC612473B5,5,4,5,1,1,1,5,5,5,5,2,4,3,1,3,1,1,1,1,5,-1,False,False,False,0,False
participant_005,C,1,0AC612473B5,1,1,1,5,5,5,4,4,5,4,2,4,5,5,3,1,1,1,1,5,-1,False,False,False,0,False
participant_006,0,2,0AC612473B5,1,1,1,1,3,2,2,1,1,3,4,4,1,1,1,3,4,4,1,5,-1,False,False,False,0,False
participant_006,1,2,0AC612473B5,1,1,3,1,2,2,2,1,1,3,4,4,1,1,1,2,4,2,1,5,-1,False,False,False,0,False
participant_006,2,2,0AC612473B5,4,4,4,3,3,3,4,4,4,4,4,4,2,2,2,3,3,2,1,5,-1,False,False,False,0,False
participant_006,3,2,0AC612473B5,2,3,3,1,2,2,2,3,3,4,4,4,2,1,2,3,4,3,1,5,-1,False,False,False,0,False
participant_006,4,2,0AC612473B5,4,4,3,1,1,2,3,3,2,5,4,4,2,2,2,2,3,2,1,5,-1,False,False,False,0,False
participant_006,5,2,0AC612473B5,3,1,3,1,1,2,2,2,2,4,4,4,1,2,2,1,4,2,1,5,-1,False,False,False,0,False
participant_006,6,2,0AC612473B5,1,1,2,1,3,3,2,2,2,3,4,4,1,1,1,4,4,4,1,5,-1,False,False,False,0,False
participant_006,7,2,0AC612473B5,1,1,1,1,2,3,1,1,1,3,5,5,1,1,1,1,1,1,1,5,-1,False,False,False,0,False
participant_006,A,2,0AC612473B5,5,4,5,3,2,2,4,4,4,5,4,4,2,2,2,3,4,4,1,5,-1,False,False,False,0,False
participant_006,B,2,0AC612473B5,4,4,3,2,2,2,2,2,2,5,5,5,1,2,2,2,4,2,1,5,-1,False,False,False,0,False
participant_006,C,2,0AC612473B5,1,1,1,5,5,5,3,4,5,5,2,3,4,2,2,1,1,1,1,5,-1,False,False,False,0,False
