ResponseId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
R_2XhSm3rVuTDh2XT,1,1,2,5,5,5,5,5,5,4,5,4,2,2,1,2,3,3,1,5,
R_82J66rTAKMAkEMO,2,1,2,1,4,1,3,4,3,5,5,5,1,1,3,1,2,1,1,5,
R_80OjC1M5y1RxlPM,5,5,5,5,4,4,2,2,2,5,5,3,2,2,1,3,2,4,1,5,
R_8rdBxiZHeShoPvf,5,5,5,1,2,1,3,4,3,4,4,2,3,4,2,5,3,4,1,5,
R_2rH7YSrGIo4VOqn,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,3,1,5,1,5,
R_21XjwbyGzuOyHgI,4,4,4,2,2,1,5,5,5,5,5,5,1,3,1,2,3,3,1,5,
R_8wRkx3xsKEWvkx4,5,5,5,5,4,2,5,5,5,5,5,5,2,2,1,4,1,4,1,5,
R_2z7lDjn9lsFW9le,5,5,5,5,5,3,5,5,4,4,5,4,5,2,1,4,1,3,1,5,
R_2QZ0mVOXJ7bErCC,5,5,5,1,1,1,5,5,5,5,5,5,3,3,2,1,1,1,1,5,
R_2By8fQWBDdVOmvN,5,2,5,4,5,4,5,5,5,5,5,5,2,2,1,5,5,4,1,5,
R_7W7t8gWXV5YT89r,2,4,3,4,3,3,3,3,3,5,5,5,3,4,4,2,3,3,1,5,
R_2oHhbfWNL2kkcVd,1,1,1,5,5,4,3,4,4,3,3,4,2,1,1,2,5,4,1,5,
R_773U7ZqYsjUkFKp,4,5,5,2,2,1,2,2,2,4,5,5,4,4,4,2,1,2,1,5,
R_7s5KA1fQw1up3RI,5,4,5,1,1,2,3,4,3,4,4,4,3,3,2,1,2,1,1,5,
R_4GDEWIUC4ym26CC,4,5,5,3,4,2,3,3,4,4,5,2,2,2,3,2,1,3,1,5,
R_43mdeeA3lr99XfP,4,3,5,5,4,2,3,2,3,4,5,3,1,2,2,1,2,2,1,5,
R_2pXXnHm4NyMkzzI,4,4,4,5,5,5,5,2,4,5,5,5,1,2,1,2,1,4,1,5,
R_7QF7WxFwsbDGmNo,5,5,5,1,1,3,5,4,4,4,4,4,2,2,2,2,1,2,1,5,
R_5daHaWG1jP1noqh,5,5,5,1,3,1,4,4,4,4,4,4,2,3,4,1,1,2,1,5,
R_1j7CZRMDdlYZsRa,4,3,5,5,4,1,4,4,4,4,5,5,1,1,2,5,5,5,1,5,
R_9ewzLHjgKMw7aAo,5,5,5,5,3,2,2,3,2,4,4,4,2,2,2,4,5,4,1,5,
R_6eJKKdxcAEn8sLc,5,5,5,1,3,1,4,5,4,2,1,1,3,5,1,3,2,3,1,5,
R_7jeylS2IMX0LQHL,4,4,3,5,5,3,2,2,3,3,5,5,2,4,4,1,3,2,1,5,
R_93ORM1AwErq8M3n,5,5,5,5,5,1,5,5,4,1,5,5,3,2,1,1,2,2,1,5,
R_5QAF6WKKRnrvhgR,5,5,5,1,2,5,2,2,1,3,5,5,3,5,2,2,1,1,1,5,
R_9I5dYnTeMGdPyAF,5,5,5,5,4,2,2,2,2,3,5,2,1,1,1,2,3,2,1,5,
R_57qyyHfdXuoAZuM,3,5,5,1,4,1,5,5,5,5,5,5,3,3,1,3,4,3,1,5,
R_8GwVWwztV7oDxie,1,1,1,5,4,1,4,4,3,5,5,4,2,2,1,3,4,2,1,5,
R_4ffBkooFqHzbTXu,5,1,5,1,1,1,4,1,2,5,5,5,5,5,3,2,3,1,1,5,
R_2xFuqG16chSKLcD,5,4,4,5,3,3,5,3,5,5,4,5,4,4,1,1,4,4,1,5,
R_8dgzwbDadiIpEzC,1,3,5,4,5,4,5,5,4,4,3,5,4,5,2,3,1,2,1,5,
R_36ao9YGhC5GcZrq,5,4,4,2,4,1,3,2,4,5,5,5,2,3,2,2,3,2,1,5,
R_8c5yw36Pz3kZ3Cp,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,
R_2U4mfZSqUjhgxov,5,3,4,5,4,3,5,4,4,4,5,2,3,4,2,2,2,2,1,5,
R_21nfNz8AxMsB3vb,3,2,4,1,4,2,3,3,3,4,2,2,3,3,2,2,1,3,1,5,
R_21hgqYz8t5glRvQ,5,5,5,5,2,2,5,4,4,4,4,5,4,4,3,1,1,2,1,5,
R_2jJ9Enb3PhGhhr0,5,5,4,4,4,1,4,3,3,4,5,5,5,4,3,1,1,1,1,5,
R_2GBvrInZcbMS2Sn,4,5,4,2,4,3,4,5,5,3,5,5,2,2,1,3,1,2,1,5,
